"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","2131","Allegheny PA","ETNA WD 02*",1137,1,1 
"42003","2150","Allegheny PA","ETNA WD 03*",994,1,1 
"42003","2160","Allegheny PA","FAWN TWP VTD 01",887,1,1 
"42003","2170","Allegheny PA","FAWN TWP VTD 02",1489,1,1 
"42003","2180","Allegheny PA","FINDLAY TWP DIST 01",1256,1,1 
"42003","2190","Allegheny PA","FINDLAY TWP DIST 02",2182,1,1 
"42003","2200","Allegheny PA","FINDLAY TWP DIST 03*",1622,1,1 
"42003","2211","Allegheny PA","FOREST HILLS DIST 01",719,1,1 
"42003","2221","Allegheny PA","FOREST HILLS DIST 02*",801,1,1 
"42003","2231","Allegheny PA","FOREST HILLS DIST 03*",733,1,1 
"42003","2240","Allegheny PA","FOREST HILLS DIST 04",953,1,1 
"42003","2251","Allegheny PA","FOREST HILLS DIST 05*",826,1,1 
"42003","2261","Allegheny PA","FOREST HILLS DIST 06",661,1,1 
"42003","2268","Allegheny PA","FOREST HILLS DIST 07",979,1,1 
"42003","2274","Allegheny PA","FOREST HILLS DIST 08*",846,1,1 
"42003","2280","Allegheny PA","FORWARD TWP DIST 01*",1062,1,1 
"42003","2291","Allegheny PA","FORWARD TWP DIST 02*",992,1,1 
"42003","2300","Allegheny PA","FORWARD TWP DIST 03*",624,1,1 
"42003","2305","Allegheny PA","FORWARD TWP DIST 04*",698,1,1 
"42003","2310","Allegheny PA","FOX CHAPEL DIST 01*",1151,1,1 
"42003","2321","Allegheny PA","FOX CHAPEL DIST 02*",1160,1,1 
"42003","2331","Allegheny PA","FOX CHAPEL DIST 03*",767,1,1 
"42003","2338","Allegheny PA","FOX CHAPEL DIST 04*",1337,1,1 
"42003","2344","Allegheny PA","FOX CHAPEL DIST 05*",973,1,1 
"42003","2350","Allegheny PA","FRANKLIN PARK WD 01 DIST 01*",2134,1,1 
"42003","2351","Allegheny PA","FRANKLIN PARK WD 01 DIST 02*",1673,1,1 
"42003","2352","Allegheny PA","FRANKLIN PARK WD 01 DIST 03*",1363,1,1 
"42003","2360","Allegheny PA","FRANKLIN PARK WD 02 DIST 01*",3242,1,1 
"42003","2361","Allegheny PA","FRANKLIN PARK WD 02 DIST 02*",1379,1,1 
"42003","2370","Allegheny PA","FRANKLIN PARK WD 03 DIST 01*",1255,1,1 
"42003","2371","Allegheny PA","FRANKLIN PARK WD 03 DIST 02*",1582,1,1 
"42003","2372","Allegheny PA","FRANKLIN PARK WD 03 DIST 03*",842,1,1 
"42003","2381","Allegheny PA","FRAZER TWP DIST 01*",1157,1,1 
"42003","2400","Allegheny PA","GLASSPORT DIST 01",847,1,1 
"42003","2411","Allegheny PA","GLASSPORT DIST 02*",789,1,1 
"42003","2421","Allegheny PA","GLASSPORT DIST 03*",960,1,1 
"42003","2430","Allegheny PA","GLASSPORT DIST 04*",479,1,1 
"42003","2440","Allegheny PA","GLASSPORT DIST 05",695,1,1 
"42003","2470","Allegheny PA","GLASSPORT DIST 06",713,1,1 
"42003","2480","Allegheny PA","GLENFIELD Voting District*",205,1,1 
"42003","2491","Allegheny PA","GREEN TREE DIST 01*",983,1,1 
"42003","2501","Allegheny PA","GREEN TREE DIST 02*",1419,1,1 
"42003","2510","Allegheny PA","GREEN TREE DIST 03*",1098,1,1 
"42003","2521","Allegheny PA","GREEN TREE DIST 04*",932,1,1 
"42003","2541","Allegheny PA","HAMPTON TWP DIST 01*",1587,1,1 
"42003","2550","Allegheny PA","HAMPTON TWP DIST 02*",1545,1,1 
"42003","2560","Allegheny PA","HAMPTON TWP DIST 03*",1670,1,1 
"42003","2571","Allegheny PA","HAMPTON TWP DIST 04*",843,1,1 
"42003","2576","Allegheny PA","HAMPTON TWP DIST 05*",1029,1,1 
"42003","2581","Allegheny PA","HAMPTON TWP DIST 06*",921,1,1 
"42003","2586","Allegheny PA","HAMPTON TWP DIST 07*",1635,1,1 
"42003","2591","Allegheny PA","HAMPTON TWP DIST 08*",1154,1,1 
"42003","2620","Allegheny PA","HAMPTON TWP DIST 09",1666,1,1 
"42003","2625","Allegheny PA","HARRISON TWP WD 01 DIST 03*",975,1,1 
"42003","2630","Allegheny PA","HAMPTON TWP DIST 10",2089,1,1 
"42003","2631","Allegheny PA","HAMPTON TWP DIST 12*",1062,1,1 
"42003","2640","Allegheny PA","HAMPTON TWP DIST 11*",2214,1,1 
"42003","2641","Allegheny PA","HAMPTON TWP DIST 13*",948,1,1 
"42003","2650","Allegheny PA","HARMAR TWP DIST 01",1291,1,1 
"42003","2660","Allegheny PA","HARMAR TWP DIST 02*",1134,1,1 
"42003","2670","Allegheny PA","HARMAR TWP DIST 03",496,1,1 
"42003","2680","Allegheny PA","HARRISON TWP WD 01 DIST 01*",374,1,1 
"42003","2690","Allegheny PA","HARRISON TWP WD 01 DIST 02*",832,1,1 
"42003","2700","Allegheny PA","HARRISON TWP WD 02 DIST 01",569,1,1 
"42003","2710","Allegheny PA","HARRISON TWP WD 02 DIST 02*",1393,1,1 
"42003","2730","Allegheny PA","HARRISON TWP WD 03 DIST 01*",1168,1,1 
"42003","2740","Allegheny PA","HARRISON TWP WD 03 DIST 02*",897,1,1 
"42003","2750","Allegheny PA","HARRISON TWP WD 04 DIST 01*",1067,1,1 
"42003","2760","Allegheny PA","HARRISON TWP WD 04 DIST 02",1002,1,1 
"42003","2770","Allegheny PA","HARRISON TWP WD 05 DIST 01",936,1,1 
"42003","2780","Allegheny PA","HARRISON TWP WD 05 DIST 02",1248,1,1 
"42003","2790","Allegheny PA","HAYSVILLE Voting District*",70,1,1 
"42003","2801","Allegheny PA","HEIDELBERG DIST 01*",1244,1,1 
"42003","2821","Allegheny PA","HOMESTEAD WD 01 DIST 01*",567,1,1 
"42003","2830","Allegheny PA","HOMESTEAD WD 01 DIST 02*",430,1,1 
"42003","2851","Allegheny PA","HOMESTEAD WD 02 DIST 01*",515,1,1 
"42003","2870","Allegheny PA","HOMESTEAD WD 02 DIST 02",394,1,1 
"42003","2881","Allegheny PA","HOMESTEAD WD 03 DIST 01*",830,1,1 
"42003","2900","Allegheny PA","HOMESTEAD WD 03 DIST 02",429,1,1 
"42003","2910","Allegheny PA","INDIANA TWP DIST 01",1385,1,1 
"42003","2920","Allegheny PA","INDIANA TWP DIST 02",1225,1,1 
"42003","2930","Allegheny PA","INDIANA TWP DIST 03",2012,1,1 
